Point/Time,Mode,Alt,Tsa,Psa,Tta,Pta,Macha,Control_input_Control,Control_output_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,N1,Nc2,N1%,Nc2%,PW_FAN_BST,BPR_FAN_BST,crossflow_FAN_BST,PR_core_FAN_BST,PR_duct_FAN_BST,Wc_core_FAN_BST,Wc_duct_FAN_BST,Eta_is_core_FAN_BST,Eta_is_duct_FAN_BST,W25,Wc25,T25,P25,PR_HPC,N2,Nc25,N2%,Nc25%,Eta_is_HPC,PW_HPC,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_HPT,Nc4,Nc4%,Eta_is_HPT,PW_HPT,W45,Wc45,T45,P45,PR_LPT,Nc45,Nc45%,Eta_is_LPT,PW_LPT,W5,Wc5,T5,P5,PR_Exhduct_hot,W7,Wc7,T7,P7,PR_HotNozzle,T8,P8,V8,Mach8,T9,P9,A8,A8_geom,FG_HotNozzle,W21,Wc21,T21,P21,PR_Exhduct_cold,W23,Wc23,T23,P23,PR_ColdNozzle,T18,P18,V18,Mach18,T19,P19,A18,A18_geom,FG_ColdNozzle,FG,FN,RD,WF,PW1,PW2,Comment
0,DP,0,288.150000,101325.000000,288.150000,101325.000000,0.000000,,,337.000000,337.000000,288.150000,101325.000000,1,337.000000,337.000000,288.150000,101325.000000,4480.000000,4880.000000,100.000000,100.000000,19538770.648995,5.300000,0.000000,2.330000,1.650000,53.492063,283.507937,0.869600,0.860600,53.492063,26.312440,378.507076,236087.250000,10.900000,14000.000000,12215.193367,100.000000,100.000000,0.843300,23396601.829888,53.492063,3.498673,795.081191,2573351.025000,1,1.106929,54.598992,4.904995,1500.000000,2573351.025000,3.756227,6136.089960,100.000000,0.873200,23396601.829888,54.598992,16.152676,1152.920908,685089.326700,4.403844,2239.688234,100.000000,0.868200,19538770.648995,54.598992,61.062477,849.562864,155566.209717,1.000000,54.598992,61.062477,849.562864,155566.209717,1.535319,762.120158,101325.000000,445.165711,0.821009,762.120158,101325.000000,0.264781,0.264781,24.305599,283.507937,186.544192,339.640549,167186.250000,1.000000,283.507937,186.544192,339.640549,167186.250000,1.650000,294.386009,101325.000000,301.644323,0.876681,294.386009,101325.000000,0.783835,0.783835,85.518559,109.824159,109.824159,0.000000,1.106929,0.000000,0.000000,
0,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1200,130.711890,307.180335,251.713200,40297.860011,1,130.711890,307.180332,251.713200,40297.860011,3741.528521,4360.609380,83.516262,89.356750,5470260.434258,5.800839,1.527955,2.117533,1.482204,45.168002,262.012330,0.845593,0.819494,19.219964,24.166012,323.083262,85332.036792,9.625978,12152.785239,11476.987428,86.805609,93.956658,0.852780,6625950.962026,19.219964,3.581253,657.452298,821404.294464,1,0.288595,19.508559,4.910957,1200.000000,821404.294464,3.782714,5955.174779,97.051621,0.866995,6625950.962026,19.508559,16.196598,912.198917,217146.815967,4.584679,2102.875668,93.891446,0.848849,5470260.434258,19.508559,63.239091,661.599697,47363.579248,1.000000,19.508559,63.239091,661.599697,47363.579248,1.791614,566.184659,26436.267341,452.920263,0.960082,566.184659,26436.267341,0.264781,0.264781,8.835821,111.491926,189.225890,288.429596,59729.664010,1.000000,111.491926,189.225890,288.429596,59729.664010,2.259383,240.053483,31511.613564,311.035649,1.000000,240.053483,26436.267341,0.783835,0.783835,38.656195,47.492016,16.177289,31.314728,0.288595,-0.000000,0.000000,
1,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1100,119.726911,281.364993,251.713200,40297.860011,1,119.726911,281.365011,251.713200,40297.860011,3409.011494,3973.073415,76.094007,81.415439,4092467.698470,6.306122,2.617067,1.932368,1.356591,38.510858,242.854153,0.828686,0.778645,16.387205,22.288159,314.823850,77870.292279,8.591323,11552.822249,11052.578056,82.520159,90.482219,0.851134,5150517.329969,16.387205,3.643153,620.860789,669008.831421,1,0.212945,16.600150,4.912288,1100.000000,669008.831421,3.790117,5912.907169,96.362785,0.865330,5150517.329966,16.600150,16.194048,832.205728,176514.034588,4.411296,2005.960732,89.564284,0.838313,4092467.698472,16.600150,61.049122,607.779865,40014.100214,1.000000,16.600150,61.049122,607.779865,40014.100214,1.513606,543.436454,26436.267341,369.915953,0.799304,543.436454,26436.267341,0.264781,0.264781,6.140660,103.339706,189.242172,281.286144,54667.695735,1.000000,103.339706,189.242172,281.286144,54667.695735,2.067905,234.074660,28838.279557,307.172022,1.000000,234.074660,26436.267341,0.783835,0.783835,33.625847,39.766507,11.083457,28.683050,0.212945,0.000000,-0.000000,
