Point/Time,Mode,Alt,Tsa,Psa,Tta,Pta,Macha,Control_input_Control,Control_output_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,N1,Nc2,N1%,Nc2%,PW_FAN_BST,BPR_FAN_BST,crossflow_FAN_BST,PR_core_FAN_BST,PR_duct_FAN_BST,Wc_core_FAN_BST,Wc_duct_FAN_BST,Eta_is_core_FAN_BST,Eta_is_duct_FAN_BST,W25,Wc25,T25,P25,PR_HPC,N2,Nc25,N2%,Nc25%,Eta_is_HPC,PW_HPC,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_HPT,Nc4,Nc4%,Eta_is_HPT,PW_HPT,W45,Wc45,T45,P45,PR_LPT,Nc45,Nc45%,Eta_is_LPT,PW_LPT,W5,Wc5,T5,P5,PR_Exhduct_hot,W7,Wc7,T7,P7,PR_HotNozzle,T8,P8,V8,Mach8,T9,P9,A8,A8_geom,FG_HotNozzle,W21,Wc21,T21,P21,PR_Exhduct_cold,W23,Wc23,T23,P23,PR_ColdNozzle,T18,P18,V18,Mach18,T19,P19,A18,A18_geom,FG_ColdNozzle,FG,FN,RD,WF,PW1,PW2,Comment
0,DP,0,288.150000,101325.000000,288.150000,101325.000000,0.000000,,,337.000000,337.000000,288.150000,101325.000000,1,337.000000,337.000000,288.150000,101325.000000,4480.000000,4880.000000,100.000000,100.000000,19538770.648995,5.300000,0.000000,2.330000,1.650000,53.492063,283.507937,0.869600,0.860600,53.492063,26.312440,378.507076,236087.250000,10.900000,14000.000000,12215.193367,100.000000,100.000000,0.843300,23396601.829888,53.492063,3.498673,795.081191,2573351.025000,1,1.100000,54.592063,6.124813,2339.430490,2573351.025000,2.006031,4913.401734,100.000000,0.873200,23396601.829888,54.592063,11.550835,2067.645266,1282807.342453,1.934808,1672.435241,100.000000,0.868200,19538770.648995,54.592063,21.061759,1836.381429,663015.389431,1.000000,54.592063,21.061759,1836.381429,663015.389431,6.543453,1616.384813,364682.448351,816.470923,1.000000,1616.384813,101325.000000,0.095825,0.095825,69.809137,283.507937,186.544192,339.640549,167186.250000,1.000000,283.507937,186.544192,339.640549,167186.250000,1.650000,294.386009,101325.000000,301.644323,0.876681,294.386009,101325.000000,0.783835,0.783835,85.518559,155.327696,155.327696,0.000000,1.100000,0.000000,0.000000,
0,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,22.005000,0.208719,118.722789,279.005268,251.713200,40297.860011,1,118.722789,279.005268,251.713200,40297.860011,3395.202727,3956.979821,75.785775,81.085652,4039574.356944,6.578533,3.179218,1.959762,1.352290,36.815208,242.190060,0.826237,0.776601,15.665669,21.064573,316.492660,78974.231286,8.246013,11323.968947,10805.034565,80.885492,88.455698,0.841741,4878373.237877,15.665669,3.574535,619.705561,651222.521442,1,0.208719,15.874388,6.139271,1780.261853,651222.521442,2.015642,4555.814565,92.722208,0.856034,4878373.237890,15.874388,11.591685,1562.128637,323084.495193,1.990375,1458.198429,87.190128,0.822884,4039574.356931,15.874388,21.665488,1377.496827,162323.392819,1.000000,15.874388,21.665488,1377.496827,162323.392819,6.140178,1197.254197,88401.904273,696.468020,1.000000,1197.254197,26436.267341,0.095825,0.095825,16.993879,103.057120,189.242725,281.042051,54494.385850,1.000000,103.057120,189.242725,281.042051,54494.385850,2.061349,233.870399,28746.760572,307.039131,1.000000,233.870399,26436.267341,0.783835,0.783835,33.453613,50.447492,22.005000,28.442492,0.208719,-0.000000,0.000000,
1,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,24.450000,0.232555,122.539032,287.974105,251.713200,40297.860011,1,122.539032,287.973655,251.713200,40297.860011,3525.045912,4108.307122,78.684061,84.186621,4499119.022017,6.306926,2.680383,2.043003,1.393569,39.411052,248.562602,0.832972,0.795350,16.770257,21.762444,320.348938,82328.650313,8.585162,11560.744981,10964.365114,82.576750,89.760062,0.845694,5393835.685119,16.770257,3.563444,633.060108,706804.817998,1,0.232555,17.002812,6.138115,1827.312825,706804.817998,2.015161,4590.803266,93.434315,0.858136,5393835.664057,17.002812,11.589859,1604.277711,350743.522135,1.986607,1493.943988,89.327464,0.832341,4499119.028252,17.002812,21.617042,1414.138300,176554.062253,1.000000,17.002812,21.617042,1414.138300,176554.062253,6.678479,1230.502812,96237.781979,706.428663,1.000000,1230.502812,26436.267341,0.095825,0.095825,18.700024,105.768775,189.237512,283.338521,56157.834981,1.000000,105.768775,189.237512,283.338521,56157.834981,2.124272,235.792218,29625.178043,308.287101,1.000000,235.792218,26436.267341,0.783835,0.783835,35.106727,53.806751,24.450000,29.356751,0.232555,0.000006,-0.000021,
2,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,26.895000,0.257447,126.243299,296.678893,251.713200,40297.860011,1,126.243299,296.678891,251.713200,40297.860011,3627.328342,4227.513409,80.967150,86.629373,4947993.421832,6.085296,2.220973,2.089142,1.434627,41.872475,254.806416,0.839091,0.807502,17.817646,22.676368,322.204385,84187.932046,9.041904,11795.943937,11155.172456,84.256742,91.322111,0.850458,5915975.311826,17.817646,3.547378,644.642889,761219.190485,1,0.257447,18.075092,6.136953,1874.776106,761219.190485,2.014555,4624.526867,94.120675,0.860057,5915975.311826,18.075092,11.587571,1646.911759,377859.691116,1.982011,1517.263519,90.721810,0.838242,4947993.421832,18.075092,21.566106,1452.167564,190644.576509,1.000000,18.075092,21.566106,1452.167564,190644.576509,7.211479,1265.064159,104013.051652,716.701211,1.000000,1265.064159,26436.267341,0.095825,0.095825,20.388259,108.425653,189.232070,285.727771,57812.378315,1.000000,108.425653,189.232070,285.727771,57812.378315,2.186859,237.791906,30498.992165,309.580080,1.000000,237.791906,26436.267341,0.783835,0.783835,36.750926,57.139185,26.895000,30.244185,0.257447,0.000000,0.000000,
