,0
H2O,1.4519965651597786
OH,0.0001661769471955032
HO2,2.5014344185201206e-06
O,7.737857911677118e-07
H2O2,2.951227064315097e-07
H2,2.7678294781305377e-08
CO,2.559847836591856e-09
N2,1.7220003201146028e-10
H,8.628447458721052e-11
AR,2.9574676041477233e-12
