Point/Time,Mode,Alt,Tsa,Psa,Tta,Pta,Macha,Control_input_Control,Control_output_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,N1,Nc2,N1%,Nc2%,PW_FAN_BST,BPR_FAN_BST,crossflow_FAN_BST,PR_core_FAN_BST,PR_duct_FAN_BST,Wc_core_FAN_BST,Wc_duct_FAN_BST,Eta_is_core_FAN_BST,Eta_is_duct_FAN_BST,W25,Wc25,T25,P25,PR_HPC,N2,Nc25,N2%,Nc25%,Eta_is_HPC,PW_HPC,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_HPT,Nc4,Nc4%,Eta_is_HPT,PW_HPT,W45,Wc45,T45,P45,PR_LPT,Nc45,Nc45%,Eta_is_LPT,PW_LPT,W5,Wc5,T5,P5,PR_Exhduct_hot,W7,Wc7,T7,P7,PR_HotNozzle,T8,P8,V8,Mach8,T9,P9,A8,A8_geom,FG_HotNozzle,W21,Wc21,T21,P21,PR_Exhduct_cold,W23,Wc23,T23,P23,PR_ColdNozzle,T18,P18,V18,Mach18,T19,P19,A18,A18_geom,FG_ColdNozzle,FG,FN,RD,WF,PW1,PW2,Comment
0,DP,0,288.150000,101325.000000,288.150000,101325.000000,0.000000,,,337.000000,337.000000,288.150000,101325.000000,1,337.000000,337.000000,288.150000,101325.000000,4480.000000,4880.000000,100.000000,100.000000,19538770.648995,5.300000,0.000000,2.330000,1.650000,53.492063,283.507937,0.869600,0.860600,53.492063,26.312440,378.507076,236087.250000,10.900000,14000.000000,12215.193367,100.000000,100.000000,0.843300,23396601.829888,53.492063,3.498673,795.081191,2573351.025000,1,1.100000,54.592063,4.897839,1496.006325,2573351.025000,3.773121,6144.274824,100.000000,0.873200,23396601.829888,54.592063,16.193125,1148.640827,682021.834557,4.435528,2243.857132,100.000000,0.868200,19538770.648995,54.592063,61.602329,844.941377,153763.399207,1.000000,54.592063,61.602329,844.941377,153763.399207,1.517527,760.138819,101325.000000,438.181145,0.809088,760.138819,101325.000000,0.268268,0.268268,23.921213,283.507937,186.544192,339.640549,167186.250000,1.000000,283.507937,186.544192,339.640549,167186.250000,1.650000,294.386009,101325.000000,301.644323,0.876681,294.386009,101325.000000,0.783835,0.783835,85.518559,109.439772,109.439772,0.000000,1.100000,0.000000,0.000000,
0,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,22.005000,0.375280,142.841434,335.685990,251.713200,40297.860011,1,142.841434,335.685446,251.713200,40297.860011,4135.512220,4819.782417,92.310541,98.766033,7038166.389004,5.416112,0.410315,2.310760,1.622595,52.319140,283.366305,0.866528,0.856708,22.262928,25.942134,330.450034,93118.676656,10.638645,12874.858725,12022.613454,91.963277,98.423440,0.850762,8339282.920372,22.262928,3.529661,692.361656,990656.588991,1,0.375280,22.638208,4.900396,1290.654189,990656.588991,3.791131,6083.406487,99.009349,0.871094,8339282.897981,22.638208,16.214260,983.115004,261309.006098,4.649984,2238.909084,99.779485,0.864042,7038166.369131,22.638208,64.060603,709.723589,56195.682514,1.000000,22.638208,64.060603,709.723589,56195.682514,2.125704,601.448828,30015.784993,485.337488,1.000000,601.448828,26436.267341,0.268268,0.268268,11.947440,120.578505,189.209655,295.472119,65387.111820,1.000000,120.578505,189.209655,295.472119,65387.111820,2.473387,245.949880,34499.629782,314.797632,1.000000,245.949880,26436.267341,0.783835,0.783835,44.278170,56.225610,22.005000,34.220610,0.375280,-0.000020,-0.000022,
1,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,24.450000,0.414783,147.582164,346.827241,251.713200,40297.860011,1,147.582164,346.826431,251.713200,40297.860011,4291.301588,5001.349008,95.787982,102.486660,7699007.949695,5.313147,0.048785,2.405812,1.678985,54.937167,291.889264,0.875037,0.868682,23.376955,26.300795,333.914026,96949.080534,10.913602,13142.480641,12208.697317,93.874862,99.946820,0.843070,9058689.414690,23.376955,3.508282,707.656041,1058063.708781,1,0.414783,23.791738,4.899384,1332.415629,1058063.708781,3.785999,6111.767134,99.470927,0.872041,9058689.384617,23.791738,16.202535,1016.626841,279467.491192,4.648640,2284.638880,101.817484,0.868621,7699007.901887,23.791738,64.009264,734.225394,60118.113560,1.000000,23.791738,64.009264,734.225394,60118.113560,2.274077,623.033999,32140.853823,493.437163,1.000000,623.033999,26436.267341,0.268268,0.268268,13.270085,124.205209,189.203453,298.140979,67659.516140,1.000000,124.205209,189.203453,298.140979,67659.516140,2.559345,248.184942,35699.905074,316.211425,1.000000,248.184942,26436.267341,0.783835,0.783835,46.536265,59.806350,24.450000,35.356350,0.414783,-0.000048,-0.000030,
2,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,26.895000,0.458103,152.040820,357.306450,251.713200,40297.860011,1,152.040820,357.304523,251.713200,40297.860011,4428.668943,5161.445443,98.854217,105.767325,8374401.490692,5.240925,-0.228439,2.502143,1.733812,57.251849,300.052674,0.881680,0.875767,24.361903,26.491994,337.427586,100831.016633,11.144123,13382.977240,12367.210663,95.592695,101.244494,0.830728,9795010.477758,24.361903,3.483259,724.460354,1123673.210609,1,0.458103,24.820005,4.899028,1380.643278,1123673.210609,3.780082,6113.941937,99.506323,0.872199,9795010.445925,24.820005,16.193993,1055.764891,297261.612305,4.642325,2313.656710,103.110696,0.871382,8374401.471803,24.820005,63.946732,763.879790,64032.923481,1.000000,24.820005,63.946732,763.879790,64032.923481,2.422162,649.240030,34273.091982,503.041247,1.000000,649.240030,26436.267341,0.268268,0.268268,14.587854,127.678917,189.197138,300.845947,69868.916816,1.000000,127.678917,189.197138,300.845947,69868.916816,2.642919,250.450553,36867.046317,317.637830,1.000000,250.450553,26436.267341,0.783835,0.783835,48.731659,63.319513,26.895000,36.424513,0.458103,-0.000019,-0.000032,
